fund_id,fund_name,fund_nickname,company,rakuten_category,asset_type,region,region_japan_pct,region_us_pct,region_em_pct,is_index,is_leveraged,is_currency_select,has_currency_hedge,is_monthly_payout,payout_type,expense_ratio,aum_oku_yen,operation_years,fund_score_1y,fund_score_3y,fund_score_5y,fund_score_10y,return_6m,return_1y,return_3y,return_5y,return_10y,return_inception,sharpe_1y,sharpe_3y,sharpe_5y,sharpe_10y,stddev_1y,stddev_3y,stddev_5y,stddev_10y,is_nisa_growth_eligible,data_updated_at,philosophy_tags
JP90C000R6N1,楽天･ｼｭﾜﾌﾞ･高配当株式･米国ﾌｧﾝﾄﾞ(四半期決算型),楽天・SCHD,楽天,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,False,False,False,False,False,none,0.1238,2229.17,1.5,3,,,,54.14,38.6,,,,16.34,2.47,,,,13.35,,,,True,2026-05-08,active_diversified|dividend_focused|medium_risk|us_centric
JP90C000FHC4,楽天・全世界株式インデックス・ファンド,楽天・ＶＴ,楽天,先進国・新興国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,True,False,False,False,False,none,0.178,8555.12,7.0,2,3,4,,23.09,41.5,24.81,18.3,,15.19,2.97,1.56,1.12,,11.73,14.76,15.97,,True,2026-05-08,global_diversified|high_risk|passive_index
JP90C000QF30,楽天･ﾌﾟﾗｽ･SOXｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・プラス・SOX,楽天,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.176,411.8,1.5,5,,,,119.08,164.16,,,,48.69,3.44,,,,29.57,,,,True,2026-05-08,high_risk|passive_index|tech_heavy|us_centric
JP90C000QZ44,ｅＭＡＸＩＳ 日経半導体株インデックス,,三菱UFJｱｾｯﾄ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.297,356.8,1.5,5,,,,148.36,180.02,,,,47.06,3.12,,,,34.97,,,,True,2026-05-08,japan_centric|medium_risk|passive_index|tech_heavy
JP90C000CMF4,たわらノーロード　日経２２５,,AMOne,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.143,4279.17,12.0,4,4,3,4,30.94,64.12,28.93,17.18,15.9,13.52,2.68,1.35,0.92,0.84,18.97,20.19,18.97,19.77,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000PDZ3,ﾆｯｾｲSOX指数ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ(米国半導体株)&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.1815,962.98,4.0,5,5,,,118.57,164.65,58.33,,,56.97,3.43,1.54,,,29.71,33.46,,,True,2026-05-08,passive_index|tech_heavy|us_centric|very_high_risk
JP90C0007G10,三菱ＵＦＪ 純金ファンド,ファインゴールド,三菱UFJｱｾｯﾄ,金関連-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.99,9731.35,12.0,2,,,,27.24,50.19,36.48,27.94,16.73,11.51,1.32,1.41,1.32,1.01,35.03,23.98,20.05,16.63,True,2026-05-08,high_risk
JP90C000ENC5,eMAXISSlim先進国株式ｲﾝﾃﾞｯｸｽ(除く日本),,三菱UFJｱｾｯﾄ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.09889,12626.0,7.0,4,5,5,,18.68,38.63,25.31,19.95,,16.79,2.79,1.57,1.18,,11.78,14.94,16.41,,True,2026-05-08,developed_only|high_risk|japan_centric
JP90C0006G52,野村世界業種別投資ｼﾘｰｽﾞ(世界半導体株投資),,野村,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.65,8543.4,12.0,5,5,4,4,70.02,147.07,70.45,45.81,38.74,26.63,3.43,1.76,1.32,1.24,27.46,33.49,32.43,29.92,True,2026-05-08,global_diversified|tech_heavy|very_high_risk
JP90C000PDY6,ﾆｯｾｲNASDAQ100ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.2035,5156.74,4.0,4,4,,,18.76,49.92,33.91,,,34.89,2.57,1.53,,,16.07,20.28,,,True,2026-05-08,high_risk|passive_index|tech_heavy|us_centric
JP90C0001R39,ニッセイ日経２２５インデックスファンド,,ﾆｯｾｲ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.275,4609.81,12.0,4,4,3,4,30.79,64.01,28.84,17.08,15.85,9.67,2.68,1.34,0.92,0.84,18.98,20.18,18.97,19.78,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000B1F6,東京海上･円資産ﾊﾞﾗﾝｽﾌｧﾝﾄﾞ(年1回決算型),円奏会（年１回決算型）,東京海上,バランス（可変配分）-為替ヘッジ有り,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.924,814.24,12.0,1,1,1,1,-5.89,-1.32,-1.23,-1.66,-0.59,0.07,-0.52,-0.42,-0.54,-0.16,3.63,3.51,3.33,3.72,True,2026-05-08,low_risk
JP90C000H373,日経平均高配当利回り株ファンド,,三菱UFJｱｾｯﾄ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.693,2710.04,7.0,2,2,4,,34.93,33.56,24.0,23.04,,15.89,2.01,1.4,1.39,,14.62,16.15,15.68,,True,2026-05-08,dividend_focused|high_risk|japan_centric|passive_index
JP90C000G631,eMAXISSlim全世界株式(除く日本),,三菱UFJｱｾｯﾄ,先進国・新興国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.05775,11091.68,7.0,3,5,5,,20.71,40.87,25.45,19.21,,17.48,2.93,1.59,1.17,,11.75,14.78,16.04,,True,2026-05-08,global_diversified|high_risk|japan_centric
JP90C000PYH7,世界半導体関連フォーカスファンド,,SBI岡三,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.948,2471.79,1.5,5,,,,176.43,222.78,,,,55.49,4.0,,,,30.59,,,,True,2026-05-08,global_diversified|medium_risk|tech_heavy
JP90C000END3,eMAXISSlim先進国債券ｲﾝﾃﾞｯｸｽ(除く日本),,三菱UFJｱｾｯﾄ,先進国債券（広域・高格付）-為替ヘッジ無し,債券,world,0.06,0.62,0.11,False,False,False,False,False,none,0.154,2253.8,7.0,4,5,4,,6.26,11.89,8.2,5.73,,4.67,1.57,1.08,0.76,,6.93,7.28,7.46,,True,2026-05-08,developed_only|japan_centric|low_risk
JP90C000L9D2,eMAXIS NASDAQ100ｲﾝﾃﾞｯｸｽ,,三菱UFJｱｾｯﾄ,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.2035,2491.49,7.0,4,4,4,,18.74,49.85,33.73,24.1,,23.52,2.57,1.52,1.1,,16.06,20.28,21.65,,True,2026-05-08,high_risk|passive_index|tech_heavy|us_centric
JP90C000SGQ9,楽天･ｺﾞｰﾙﾄﾞ･ﾌｧﾝﾄﾞ(為替ﾍｯｼﾞなし),楽天・ゴールド（為替ヘッジなし）,楽天,金関連-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.2925,257.03,,,,,,,,,,,,,,,,,,,,True,2026-05-08,medium_risk
JP90C000F7H5,eMAXISSlim新興国株式ｲﾝﾃﾞｯｸｽ,,三菱UFJｱｾｯﾄ,新興国株式（広域）-為替ヘッジ無し,株式,em,0.0,0.0,1.0,False,False,False,False,False,none,0.1518,3891.75,7.0,4,4,4,,35.87,58.27,25.95,13.88,,11.26,2.93,1.43,0.82,,15.95,16.99,17.58,,True,2026-05-08,em_centric|high_risk
JP90C000QF97,Tracers日経平均高配当株50ｲﾝﾃﾞｯｸｽ(奇数月分配型),,ｱﾓｰｳﾞｧAM,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.10725,521.54,1.5,3,,,,49.14,46.61,,,,24.35,2.48,,,,15.74,,,,True,2026-05-08,dividend_focused|japan_centric|medium_risk|passive_index
JP90C000BRT6,ﾆｯｾｲTOPIXｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.143,1272.41,12.0,2,2,4,3,27.93,41.73,24.28,16.64,13.55,10.35,2.57,1.37,1.04,0.81,13.74,16.64,15.92,17.51,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000ENB7,ｅＭＡＸＩＳＳｌｉｍ国内債券インデックス,,三菱UFJｱｾｯﾄ,国内債券,債券,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.132,331.93,7.0,2,2,3,,-8.9,-6.63,-4.39,-3.31,,-1.62,-2.79,-1.4,-1.15,,2.67,3.39,3.04,,True,2026-05-08,japan_centric|low_risk|passive_index
JP90C000QLW1,一歩先いくUSﾃｯｸ･ﾄｯﾌﾟ20ｲﾝﾃﾞｯｸｽ,,大和,米国株式-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.495,665.71,1.5,4,,,,2.81,53.66,,,,29.23,2.09,,,,21.42,,,,True,2026-05-08,medium_risk
JP90C000RGT5,楽天･高配当株式･日本ﾌｧﾝﾄﾞ(四半期決算型),,楽天,国内株式,株式,japan,1.0,0.0,0.0,False,False,False,False,False,none,0.297,216.15,1.5,3,,,,36.65,42.79,,,,36.52,2.35,,,,15.44,,,,True,2026-05-08,active_diversified|dividend_focused|japan_centric|medium_risk
JP90C000SCP0,ＳＭＴ　日本株式モメンタムファンド,トレンドランキング・日本株,三井住友TAM,国内株式,株式,japan,1.0,0.0,0.0,False,False,False,False,False,none,0.77,221.65,,,,,,,,,,,,,,,,,,,,True,2026-05-08,japan_centric|medium_risk|momentum
JP90C000RXU8,ｽﾃｰﾄ･ｽﾄﾘｰﾄ･ｺﾞｰﾙﾄﾞ･ｵｰﾌﾟﾝ(為替ﾍｯｼﾞなし),,ｽﾃｰﾄｽﾄﾘｰﾄ,金関連-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.2925,142.7,,,,,,36.5,,,,,67.69,,,,,,,,,True,2026-05-08,medium_risk
JP90C000PQC4,半導体関連　世界株式戦略ファンド,半導体革命,三井住友TAM,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.728,4408.83,1.5,5,,,,223.02,225.84,,,,55.97,4.07,,,,30.27,,,,True,2026-05-08,global_diversified|medium_risk|tech_heavy
JP90C000SCM7,ＳＭＴ　米国株式モメンタムファンド,トレンドランキング・米国株,三井住友TAM,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,False,False,False,False,False,none,0.77,107.83,,,,,,,,,,,,,,,,,,,,True,2026-05-08,medium_risk|momentum|us_centric
JP90C0001530,日経２２５ノーロードオープン,,AMOne,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.55,4310.86,12.0,4,3,2,3,30.24,63.33,28.28,16.5,15.22,5.98,2.66,1.32,0.89,0.81,18.96,20.21,18.98,19.78,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C00052C3,キャピタル世界株式ファンド,,ｷｬﾋﾟﾀﾙ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.701,10841.13,12.0,1,3,2,3,8.01,33.81,21.48,14.8,16.16,8.05,2.25,1.35,0.88,0.87,13.1,14.99,17.3,19.26,True,2026-05-08,global_diversified|high_risk
JP90C000EWV6,eMAXISSlimﾊﾞﾗﾝｽ(8資産均等型),,三菱UFJｱｾｯﾄ,バランス（固定配分・中リスク）-為替ヘッジ無し,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.143,5029.8,7.0,4,5,4,,13.93,24.28,14.04,9.88,,8.56,2.94,1.49,1.02,,7.28,8.86,9.56,,True,2026-05-08,broad_market|medium_risk
JP90C00081U4,三井住友･DCつみたてNISA･日本株ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ,,三井住友DS,国内株式,株式,japan,1.0,0.0,0.0,False,False,False,False,False,none,0.176,2565.11,12.0,2,2,4,3,28.08,41.81,24.3,16.66,13.58,14.35,2.57,1.37,1.04,0.81,13.75,16.66,15.94,17.53,True,2026-05-08,high_risk|japan_centric
JP90C000CMK4,たわらノーロード　先進国株式,,AMOne,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.09889,12268.86,12.0,3,5,5,5,18.66,38.6,25.27,19.9,17.62,15.54,2.78,1.56,1.18,0.96,11.78,14.94,16.42,18.63,True,2026-05-08,developed_only|high_risk
JP90C000LZG5,楽天･資産づくりﾌｧﾝﾄﾞ(しっかりｺｰｽ),,楽天,バランス（固定配分・中リスク）-為替リスク低減,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.4915,839.65,4.0,2,3,,,9.92,21.49,13.76,,,9.02,2.6,1.42,,,7.36,9.15,,,True,2026-05-08,medium_risk
JP90C000GUN2,iFreeNEXTNASDAQ100ｲﾝﾃﾞｯｸｽ,,大和,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.495,2985.84,7.0,4,4,4,,18.38,49.4,33.46,23.94,,24.17,2.55,1.51,1.09,,16.06,20.28,21.65,,True,2026-05-08,high_risk|passive_index|tech_heavy|us_centric
JP90C000S1V4,iFreeNEXT全世界半導体株ｲﾝﾃﾞｯｸｽ,,大和,先進国・新興国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.495,235.0,,,,,,46.21,,,,,74.93,,,,,,,,,True,2026-05-08,global_diversified|medium_risk|tech_heavy
JP90C000DVK3,ｉＦｒｅｅ 日経２２５インデックス,,大和,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.154,2190.9,7.0,4,4,3,,30.75,64.08,28.93,17.18,,16.25,2.68,1.35,0.92,,18.99,20.2,18.97,,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000R8Q0,ﾆｭｰﾄﾝ･ﾊﾟﾜｰ･ｲﾉﾍﾞｰｼｮﾝ･ﾌｧﾝﾄﾞ(為替ﾍｯｼﾞなし),電力革命,三井住友DS,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.793,6662.59,1.5,5,,,,51.22,93.84,,,,56.56,4.08,,,,16.51,,,,True,2026-05-08,medium_risk
JP90C000LZH3,楽天･資産づくりﾌｧﾝﾄﾞ(がっちりｺｰｽ),,楽天,バランス（固定配分・高リスク）-為替リスク低減,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.4915,650.01,4.0,1,1,,,12.66,26.29,16.83,,,11.57,2.7,1.48,,,8.55,10.71,,,True,2026-05-08,medium_risk
JP90C000RE97,iFreePlus世界ﾄﾚﾝﾄﾞ･ﾃｸﾉﾛｼﾞｰ株(Zﾃｯｸ20),,大和,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.495,281.66,1.5,4,,,,15.0,63.41,,,,23.43,2.6,,,,19.41,,,,True,2026-05-08,global_diversified|medium_risk
JP90C0009VE0,ﾆｯｾｲ外国株式ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.09889,10526.81,12.0,3,5,5,5,18.68,38.6,25.29,19.9,17.59,14.74,2.78,1.57,1.18,0.96,11.78,14.92,16.39,18.6,True,2026-05-08,high_risk
JP90C000LZF7,楽天･資産づくりﾌｧﾝﾄﾞ(なかなかｺｰｽ),,楽天,バランス（固定配分・中リスク）-為替リスク低減,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.4915,573.13,4.0,2,2,,,7.22,16.97,10.84,,,6.47,2.47,1.34,,,6.17,7.66,,,True,2026-05-08,low_risk
JP90C000MEC7,WCM 世界成長株厳選ﾌｧﾝﾄﾞ(資産成長型),ネクスト・ジェネレーション,朝日ﾗｲﾌ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.958,962.33,4.0,4,5,,,16.55,58.8,45.87,,,18.69,2.53,1.9,,,18.76,20.96,,,True,2026-05-08,active_concentrated|global_diversified|growth_focused|high_risk|quality
JP90C000F6M7,ゴールド・ファンド（為替ヘッジなし）,,ｱﾓｰｳﾞｧAM,金関連-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.407,2624.92,7.0,5,,,,36.2,53.13,37.72,28.76,,19.71,1.81,1.83,1.61,,25.03,18.23,16.44,,True,2026-05-08,high_risk
JP90C000C7B1,ﾆｯｾｲ･ｲﾝﾃﾞｯｸｽﾊﾞﾗﾝｽﾌｧﾝﾄﾞ(4資産均等型)&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,バランス（固定配分・中リスク）-為替ヘッジ無し,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,0.154,1153.49,12.0,3,4,4,5,10.42,20.14,13.03,9.66,8.54,7.51,2.75,1.46,1.09,0.89,6.53,8.44,8.67,9.64,True,2026-05-08,broad_market|medium_risk
JP90C000JW79,ﾌｨﾃﾞﾘﾃｨ･世界割安成長株投信 Bｺｰｽ(為替ﾍｯｼﾞなし),テンバガー・ハンター,ﾌｨﾃﾞﾘﾃｨ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.65,9721.2,7.0,2,2,2,,24.67,32.78,18.23,14.69,,23.94,2.26,1.17,0.91,,12.66,15.04,16.43,,True,2026-05-08,active_diversified|global_diversified|growth_focused|high_risk|value_focused
JP90C000S008,楽天･高配当株式･日本ﾌｧﾝﾄﾞ(資産成長型),,楽天,国内株式,株式,japan,1.0,0.0,0.0,False,False,False,False,False,none,0.297,27.25,,,,,,36.72,,,,,39.45,,,,,,,,,True,2026-05-08,active_diversified|dividend_focused|japan_centric|medium_risk
JP90C0002H06,情報エレクトロニクスファンド,,野村,国内株式,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.65,1700.23,12.0,5,5,5,5,82.33,129.96,51.0,28.54,24.87,,3.6,1.76,1.15,1.07,23.89,25.05,24.26,23.3,True,2026-05-08,very_high_risk
JP90C000N223,ｅＭＡＸＩＳ Ｎｅｏ 水素エコノミー,,三菱UFJｱｾｯﾄ,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.792,54.84,4.0,5,3,,,90.53,174.86,32.05,,,21.73,3.63,1.03,,,29.07,31.48,,,True,2026-05-08,very_high_risk
JP90C000K971,ﾋﾟｸﾃ･ｺﾞｰﾙﾃﾞﾝ･ﾘｽｸﾌﾟﾚﾐｱﾑ･ﾌｧﾝﾄﾞ,ポラリス,ﾋﾟｸﾃ,バランス（可変配分）-為替リスク低減,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,1.7875,2600.56,7.0,3,5,5,,16.74,30.83,19.3,14.51,,14.61,2.48,1.79,1.35,,10.85,9.98,10.33,,True,2026-05-08,medium_risk
JP90C000E6Z0,ﾆｯｾｲ日経平均ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.143,1927.98,7.0,4,4,3,,30.96,64.22,29.01,17.23,,15.22,2.69,1.35,0.92,,18.98,20.19,18.97,,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000GT85,東京海上･宇宙関連株式ﾌｧﾝﾄﾞ(為替ﾍｯｼﾞなし),,東京海上,先進国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.8425,4358.37,7.0,4,5,4,,28.08,69.27,43.06,25.08,,19.75,2.4,1.8,1.13,,22.88,20.99,21.88,,True,2026-05-08,high_risk
JP90C000QTY0,TracersS&amp;P500ﾄｯﾌﾟ10ｲﾝﾃﾞｯｸｽ(米国株式),,ｱﾓｰｳﾞｧAM,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,False,False,False,False,False,none,0.10725,767.68,1.5,4,,,,8.18,53.24,,,,24.23,2.39,,,,18.37,,,,True,2026-05-08,medium_risk|us_centric
JP90C000QLX9,楽天･ｲﾝﾄﾞ株Nifty50ｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・インド株Ｎｉｆｔｙ５０,楽天,インド株式-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.308,375.52,1.5,2,,,,-22.12,-5.19,,,,-2.3,-0.28,,,,16.6,,,,True,2026-05-08,medium_risk
JP90C00025J4,ｱﾗｲｱﾝｽ･ﾊﾞｰﾝｽﾀｲﾝ･米国成長株投信Bｺｰｽ(為替ﾍｯｼﾞなし),,ｱﾗｲｱﾝｽ,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,False,False,False,False,False,none,1.727,18058.52,12.0,1,2,2,4,3.74,25.8,21.97,16.72,19.34,12.15,1.56,1.16,0.87,0.99,15.1,18.26,19.8,19.93,True,2026-05-08,active_diversified|growth_focused|high_risk|us_centric
JP90C000B9U8,ﾆｯｾｲJPX日経400ｲﾝﾃﾞｯｸｽﾌｧﾝﾄﾞ&lt;購入･換金手数料なし&gt;,,ﾆｯｾｲ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.2145,199.22,12.0,1,3,4,3,29.68,41.85,24.72,16.87,13.49,11.1,2.59,1.39,1.04,0.81,13.67,16.74,16.13,17.52,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C0000Y15,netWINGSﾃｸﾉﾛｼﾞｰ株式ﾌｧﾝﾄﾞBｺｰｽ(為替ﾍｯｼﾞなし),,ｺﾞｰﾙﾄﾞﾏﾝ,米国株式-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,2.09,15803.12,12.0,4,4,3,5,11.65,47.68,35.0,20.33,23.14,8.55,2.01,1.39,0.86,0.99,20.11,23.29,25.07,23.93,True,2026-05-08,very_high_risk
JP90C000FTZ0,ﾆｯｾｲAI関連株式ﾌｧﾝﾄﾞ(年2回決算型･為替ﾍｯｼﾞなし),ＡＩ革命（年２・為替ヘッジなし）,ﾆｯｾｲ,米国株式-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,1.8925,96.05,7.0,5,5,3,,53.15,94.78,45.73,24.39,,22.36,3.07,1.56,0.92,,22.45,26.15,27.76,,True,2026-05-08,very_high_risk
JP90C000Q895,ＲＯＢＯＰＲＯファンド,,SBI岡三,バランス（可変配分）-為替ヘッジ無し,バランス,world,0.06,0.62,0.11,False,False,False,False,False,none,1.562,3963.05,1.5,3,,,,11.03,26.47,,,,21.72,2.48,,,,9.4,,,,True,2026-05-08,medium_risk
